timestamp,x,y,z
605913708,-2.275,2.38,-6.93
605913713,-3.57,0.525,-7.875
605913718,-4.62,-1.4,-8.68
605913723,-5.53,-3.045,-9.24
605913727,-6.6150002,-4.41,-10.045
605913732,-7.175,-5.005,-10.5
605913737,-7.42,-5.425,-10.99
605913742,-7.945,-6.195,-11.55
605913746,-8.54,-6.335,-11.585
605913751,-8.715,-5.845,-11.69
605913756,-8.645,-4.97,-11.655
605913761,-8.225,-4.97,-11.62
605913765,-7.455,-4.69,-11.76
605913770,-6.65,-4.41,-11.585
605913775,-6.265,-4.165,-11.095
605913779,-5.495,-3.7450001,-10.36
605913783,-4.935,-3.325,-10.185
605913788,-4.305,-2.905,-9.975
605913792,-2.905,-1.995,-9.24
605913797,-0.91,-0.98,-8.225
605913802,0.91,-0.035,-7.35
605913806,2.975,0.875,-6.44
605913811,5.425,1.575,-5.39
605913816,7.7,1.715,-4.55
605913820,9.38,0.91,-3.64
605913825,10.535,-0.035,-2.485
605913829,11.515,-1.225,-1.365
605913834,12.6,-2.205,-0.385
605913839,13.72,-3.3600001,0.595
605913843,14.595,-4.62,1.61
605913848,15.82,-5.425,2.765
605913854,17.22,-5.705,3.57
605913858,18.445,-5.46,3.92
605913863,19.495,-4.9,3.675
605913868,20.265,-4.655,3.115
605913873,20.405,-3.675,2.625
605913877,20.055,-2.38,2.275
605913882,19.215,-0.77,1.82
605913887,17.815,1.19,1.085
605913891,15.785,3.43,0.42000002
605913895,13.335,5.495,-0.14
605913900,10.01,6.65,-0.595
605913904,6.02,7.245,-1.26
605913909,1.82,7.21,-2.1
605913914,-2.03,6.79,-3.255
605913918,-5.635,6.265,-4.515
605913923,-9.24,5.25,-5.705
605913928,-12.775,3.885,-7.21
605913932,-15.575,2.45,-8.47
605913937,-17.535,1.33,-9.45
605913941,-18.9,0.84000003,-9.59
605913946,-19.845,0.805,-8.82
605913951,-20.37,0.875,-7.77
605913955,-20.58,0.91,-7.0
605913960,-20.335001,0.77,-6.09
